datetime,open,close,high,low,volume,amount,avg_price
2026-02-09 10:12:00,11.07,11.08,11.08,11.06,2774,3070923.0,11.057
2026-02-09 10:13:00,11.08,11.07,11.08,11.06,1855,2053343.0,11.057
2026-02-09 10:14:00,11.07,11.07,11.08,11.07,920,1018681.0,11.057
2026-02-09 10:15:00,11.07,11.08,11.08,11.07,1840,2037742.0,11.058
2026-02-09 10:16:00,11.08,11.08,11.08,11.07,2450,2712721.0,11.058
2026-02-09 10:17:00,11.08,11.09,11.09,11.08,4300,4764334.0,11.058
2026-02-09 10:18:00,11.09,11.08,11.09,11.08,1227,1360230.0,11.058
2026-02-09 10:19:00,11.08,11.09,11.09,11.08,1302,1443469.0,11.058
2026-02-09 10:20:00,11.09,11.08,11.09,11.08,2679,2969072.0,11.059
2026-02-09 10:21:00,11.08,11.08,11.09,11.08,565,626274.0,11.059
2026-02-09 10:22:00,11.08,11.08,11.09,11.08,1109,1229035.0,11.059
2026-02-09 10:23:00,11.08,11.08,11.09,11.08,2019,2237787.0,11.059
2026-02-09 10:24:00,11.08,11.08,11.09,11.08,772,855813.0,11.059
2026-02-09 10:25:00,11.08,11.07,11.09,11.07,5488,6080636.0,11.059
2026-02-09 10:26:00,11.07,11.07,11.08,11.06,6336,7013693.0,11.06
2026-02-09 10:27:00,11.07,11.07,11.07,11.06,1514,1674986.0,11.06
2026-02-09 10:28:00,11.07,11.07,11.07,11.06,3699,4093033.0,11.06
2026-02-09 10:29:00,11.07,11.06,11.07,11.06,10525,11642798.0,11.06
2026-02-09 10:30:00,11.06,11.06,11.07,11.06,1720,1902543.0,11.06
2026-02-09 10:31:00,11.06,11.07,11.07,11.06,1266,1400639.0,11.06
2026-02-09 10:32:00,11.07,11.07,11.07,11.06,1277,1412737.0,11.06
2026-02-09 10:33:00,11.07,11.06,11.07,11.06,1361,1505804.0,11.06
2026-02-09 10:34:00,11.06,11.06,11.07,11.06,942,1042147.0,11.06
2026-02-09 10:35:00,11.06,11.07,11.07,11.06,3618,4001651.0,11.06
2026-02-09 10:36:00,11.07,11.07,11.07,11.06,5394,5969857.0,11.06
2026-02-09 10:37:00,11.07,11.07,11.08,11.06,1743,1929974.0,11.06
2026-02-09 10:38:00,11.07,11.07,11.08,11.07,401,444093.0,11.06
2026-02-09 10:39:00,11.07,11.07,11.08,11.07,497,550230.0,11.06
2026-02-09 10:40:00,11.07,11.07,11.07,11.07,1356,1501142.0,11.06
2026-02-09 10:41:00,11.07,11.07,11.08,11.06,1547,1712836.0,11.06
2026-02-09 10:42:00,11.07,11.07,11.07,11.06,823,910937.0,11.06
2026-02-09 10:43:00,11.07,11.06,11.07,11.06,471,521157.0,11.06
2026-02-09 10:44:00,11.06,11.07,11.07,11.06,1290,1427736.0,11.06
2026-02-09 10:45:00,11.07,11.07,11.07,11.06,1259,1393663.0,11.06
2026-02-09 10:46:00,11.07,11.06,11.07,11.06,491,543314.0,11.06
2026-02-09 10:47:00,11.06,11.07,11.07,11.06,637,704582.0,11.06
2026-02-09 10:48:00,11.07,11.06,11.07,11.06,959,1060804.0,11.06
2026-02-09 10:49:00,11.06,11.06,11.07,11.06,1028,1137303.0,11.06
2026-02-09 10:50:00,11.06,11.06,11.07,11.06,651,720216.0,11.06
2026-02-09 10:51:00,11.06,11.05,11.07,11.05,22599,24985827.0,11.06
2026-02-09 10:52:00,11.05,11.06,11.06,11.05,943,1042158.0,11.06
2026-02-09 10:53:00,11.06,11.05,11.06,11.05,2830,3127419.0,11.06
2026-02-09 10:54:00,11.05,11.06,11.06,11.05,533,589108.0,11.06
2026-02-09 10:55:00,11.06,11.05,11.06,11.05,512,565853.0,11.06
2026-02-09 10:56:00,11.05,11.05,11.06,11.05,761,841111.0,11.06
2026-02-09 10:57:00,11.05,11.05,11.06,11.05,1782,1969254.0,11.06
2026-02-09 10:58:00,11.05,11.05,11.06,11.05,625,690249.0,11.06
2026-02-09 10:59:00,11.05,11.05,11.06,11.04,4721,5216995.0,11.06
2026-02-09 11:00:00,11.05,11.04,11.05,11.04,632,697955.0,11.06
2026-02-09 11:01:00,11.04,11.05,11.05,11.04,882,974020.0,11.06
2026-02-09 11:02:00,11.05,11.04,11.05,11.04,1284,1418169.0,11.06
2026-02-09 11:03:00,11.04,11.04,11.05,11.04,1350,1490153.0,11.06
2026-02-09 11:04:00,11.04,11.05,11.05,11.04,7178,7930920.0,11.059
2026-02-09 11:05:00,11.05,11.06,11.06,11.04,1831,2022490.0,11.059
2026-02-09 11:06:00,11.06,11.06,11.06,11.05,1064,1175859.0,11.059
2026-02-09 11:07:00,11.06,11.05,11.06,11.05,775,856825.0,11.059
2026-02-09 11:08:00,11.05,11.05,11.06,11.04,2658,2936346.0,11.059
2026-02-09 11:09:00,11.05,11.05,11.05,11.04,803,887250.0,11.059
2026-02-09 11:10:00,11.05,11.05,11.06,11.04,996,1100621.0,11.059
2026-02-09 11:11:00,11.05,11.06,11.06,11.05,236,260937.0,11.059
2026-02-09 11:12:00,11.06,11.06,11.06,11.05,160,176942.0,11.059
2026-02-09 11:13:00,11.06,11.06,11.06,11.05,4452,4919632.0,11.059
2026-02-09 11:14:00,11.06,11.05,11.06,11.05,1332,1471960.0,11.059
2026-02-09 11:15:00,11.05,11.05,11.06,11.05,825,911796.0,11.059
2026-02-09 11:16:00,11.05,11.05,11.06,11.04,2398,2649622.0,11.059
2026-02-09 11:17:00,11.05,11.06,11.06,11.04,1420,1569066.0,11.059
2026-02-09 11:18:00,11.06,11.05,11.06,11.05,533,588999.0,11.059
2026-02-09 11:19:00,11.05,11.05,11.06,11.05,892,986065.0,11.059
2026-02-09 11:20:00,11.05,11.05,11.06,11.04,1477,1631816.0,11.059
2026-02-09 11:21:00,11.05,11.05,11.05,11.04,1633,1803718.0,11.059
2026-02-09 11:22:00,11.05,11.05,11.05,11.04,4393,4850480.0,11.059
2026-02-09 11:23:00,11.05,11.04,11.05,11.04,1021,1127300.0,11.059
2026-02-09 11:24:00,11.04,11.04,11.05,11.04,1080,1192815.0,11.059
2026-02-09 11:25:00,11.04,11.04,11.05,11.04,1293,1427721.0,11.058
2026-02-09 11:26:00,11.04,11.03,11.05,11.03,7522,8303613.0,11.058
2026-02-09 11:27:00,11.03,11.03,11.04,11.03,1638,1807376.0,11.058
2026-02-09 11:28:00,11.03,11.03,11.04,11.03,1298,1432165.0,11.058
2026-02-09 11:29:00,11.03,11.04,11.04,11.03,1617,1783967.0,11.058
2026-02-09 11:30:00,11.04,11.03,11.04,11.03,2304,2542321.0,11.058
2026-02-09 13:01:00,11.03,11.03,11.04,11.03,4490,4956282.0,11.058
2026-02-09 13:02:00,11.03,11.04,11.04,11.03,564,622403.0,11.058
2026-02-09 13:03:00,11.04,11.04,11.04,11.03,551,608015.0,11.057
2026-02-09 13:04:00,11.04,11.04,11.04,11.03,3706,4091035.0,11.057
2026-02-09 13:05:00,11.04,11.04,11.05,11.04,397,438349.0,11.057
2026-02-09 13:06:00,11.04,11.05,11.05,11.04,1255,1386677.0,11.057
2026-02-09 13:07:00,11.05,11.04,11.05,11.04,750,828549.0,11.057
2026-02-09 13:08:00,11.04,11.04,11.05,11.04,972,1073685.0,11.057
