成交时间,成交价格,价格变动,成交量,成交金额,性质
09:42:09,10.95,0.0,20,21900,卖盘
09:42:12,10.96,0.01,16,17536,买盘
09:42:15,10.96,0.0,580,635680,买盘
09:42:18,10.96,0.0,22,24125,中性盘
09:42:21,10.96,0.0,7,7672,卖盘
09:42:24,10.97,0.01,1,1097,买盘
09:42:27,10.96,-0.01,21,23016,卖盘
09:42:30,10.96,0.0,71,77832,卖盘
09:42:33,10.96,0.0,78,85488,卖盘
09:42:36,10.96,0.0,501,549096,卖盘
09:42:39,10.96,0.0,17,18632,卖盘
09:42:42,10.97,0.01,11,12062,买盘
09:42:45,10.96,-0.01,50,54808,卖盘
09:42:48,10.97,0.01,15,16445,买盘
09:42:51,10.96,-0.01,73,80008,卖盘
09:42:54,10.96,0.0,442,484433,卖盘
09:42:57,10.96,0.0,722,791296,买盘
09:43:00,10.96,0.0,303,332088,买盘
09:43:03,10.97,0.01,2258,2476625,买盘
09:43:06,10.96,-0.01,16,17536,卖盘
09:43:09,10.96,0.0,24,26304,卖盘
09:43:12,10.96,0.0,20,21920,卖盘
09:43:15,10.96,0.0,11,12056,卖盘
09:43:18,10.96,0.0,67,73432,卖盘
09:43:21,10.97,0.01,41,44967,买盘
09:43:24,10.97,0.0,16,17552,买盘
09:43:27,10.96,-0.01,89,97545,卖盘
09:43:30,10.96,0.0,184,201664,卖盘
09:43:33,10.95,-0.01,121,132500,卖盘
09:43:36,10.96,0.01,139,152328,买盘
09:43:39,10.95,-0.01,113,123842,卖盘
09:43:42,10.96,0.01,2,2192,买盘
09:43:45,10.97,0.01,37,40553,买盘
09:43:51,10.96,-0.01,37,40552,卖盘
09:43:54,10.96,0.0,98,107408,卖盘
09:43:57,10.96,0.0,26,28496,卖盘
09:44:00,10.96,0.0,10,10965,卖盘
09:44:03,10.97,0.01,96,105234,买盘
09:44:06,10.96,-0.01,18,19728,卖盘
09:44:09,10.96,0.0,27,29593,卖盘
09:44:12,10.96,0.0,129,141384,卖盘
